district,region,year,month,month_name,temp_mean_c,temp_max_c,temp_min_c,heatwave_days,rainfall_mm,rainy_days,wind_speed_kmh,cloud_cover_oktas,cloud_movement_dir
Latur,Marathwada,2018,1,Jan,23.0,27.5,15.5,0.0,2.1,0.2,19.8,0.9,NE
Latur,Marathwada,2018,2,Feb,25.0,29.5,17.5,0.0,3.3,0.3,20.7,1.0,NE
Latur,Marathwada,2018,3,Mar,30.0,34.5,24.5,1.5,5.0,0.4,21.6,1.1,NE-W
Latur,Marathwada,2018,4,Apr,34.0,40.0,28.5,6.0,7.4,0.6,23.4,1.3,W
Latur,Marathwada,2018,5,May,36.0,42.0,30.5,10.5,9.1,0.8,25.2,1.6,SW
Latur,Marathwada,2018,6,Jun,32.0,36.5,26.5,0.8,74.2,6.2,28.8,6.3,SW
Latur,Marathwada,2018,7,Jul,29.5,34.0,24.0,0.0,132.0,11.0,32.4,7.7,SW
Latur,Marathwada,2018,8,Aug,30.0,34.5,24.5,0.0,115.5,9.6,30.6,7.4,SW
Latur,Marathwada,2018,9,Sep,30.5,35.0,25.0,0.0,66.0,5.5,25.2,5.6,SW-SE
Latur,Marathwada,2018,10,Oct,28.0,32.5,22.5,0.0,14.4,1.2,19.8,2.8,SE
Latur,Marathwada,2018,11,Nov,25.0,29.5,19.5,0.0,3.3,0.3,18.0,1.4,NE
Latur,Marathwada,2018,12,Dec,23.5,28.0,16.0,0.0,2.1,0.2,18.9,1.0,NE
Latur,Marathwada,2019,1,Jan,23.1,27.6,15.6,0.0,2.0,0.2,19.8,0.9,NE
Latur,Marathwada,2019,2,Feb,25.1,29.6,17.6,0.0,3.3,0.3,20.7,1.0,NE
Latur,Marathwada,2019,3,Mar,30.1,34.6,24.6,1.5,4.9,0.4,21.6,1.1,NE-W
Latur,Marathwada,2019,4,Apr,34.1,40.1,28.6,6.0,7.3,0.6,23.4,1.3,W
Latur,Marathwada,2019,5,May,36.1,42.1,30.6,10.5,9.0,0.8,25.2,1.6,SW
Latur,Marathwada,2019,6,Jun,32.1,36.6,26.6,0.8,73.4,6.1,28.8,6.3,SW
Latur,Marathwada,2019,7,Jul,29.6,34.1,24.1,0.0,130.4,10.9,32.4,7.7,SW
